category,alias,kind
names,name,identifier
names,patient_name,identifier
names,subject_name,identifier
names,family_name,identifier
names,given_name,identifier
substate_geography,street,geography
substate_geography,address,geography
substate_geography,city,geography
substate_geography,county,geography
substate_geography,precinct,geography
substate_geography,postal_code,geography
substate_geography,zip,geography
substate_geography,geocode,geography
dates_ages,birth_date,date
dates_ages,admission_date,date
dates_ages,discharge_date,date
dates_ages,death_date,date
dates_ages,measurement_date,date
dates_ages,recording_date,date
dates_ages,start_date,date
dates_ages,start_time,date
dates_ages,age,age
telephone,telephone,identifier
telephone,phone,identifier
fax,fax,identifier
email,email,identifier
ssn,ssn,identifier
ssn,social_security_number,identifier
medical_record,medical_record_number,identifier
medical_record,mrn,identifier
health_plan,health_plan_id,identifier
health_plan,beneficiary_number,identifier
account,account_number,identifier
certificate_license,certificate_number,identifier
certificate_license,license_number,identifier
vehicle,vehicle_id,identifier
vehicle,license_plate,identifier
vehicle,vehicle_serial,identifier
device,device_serial,identifier
device,device_id,identifier
url,url,identifier
url,uri,identifier
ip_address,ip_address,identifier
ip_address,ip,identifier
biometric,fingerprint,biometric
biometric,voiceprint,biometric
biometric,biometric_id,biometric
full_face_image,photo,image
full_face_image,face_image,image
full_face_image,pixel_data,image
full_face_image,overlay_data,image
full_face_image,burned_in_annotation,image
other_unique,patient_id,identifier
other_unique,subject_id,identifier
other_unique,participant_id,identifier
other_unique,recording_id,identifier
other_unique,experiment_id,identifier
other_unique,study_id,identifier
other_unique,notes,free_text
other_unique,comments,free_text
other_unique,description,free_text
other_unique,free_text,free_text
other_unique,event_value,free_text
other_unique,operator_name,free_text
other_unique,original_path,free_text
other_unique,file_path,free_text
